
کد نماد,گروه,گروه های صنعت,تابلو,نماد,نام لاتین,نماد,نام
IRO1KBLI0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,KBLI1,Iran Cable,بايكا,كابلسازي‌ايران‌
IRR1KBLI0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,KBLX1,Iran Cable-R,بايكاح,ح . كابلسازي‌ايران‌
IRO1TRNS0001,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو اصلي,TRNS1,Iran Transfo,بترانس,ايران‌ ترانسفو
IRR1TRNS0101,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو فرعي,TRNX1,Iran Transfo-R,بترانسح,ح . ايران‌ ترانسفو
IRO1KTAK0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,KTAK1,Tak Cable,بتك,كابلسازي‌ تك‌
IRR1KTAK0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,KTAX1,Tak Cable-R,بتكح,ح . كابلسازي‌ تك‌
IRO1JHRM0001,N2,عرضه برق، گاز، بخاروآب گرم,فهرست اوليه,JHRM1,Power Gen. Jarom,بجهرم,توسعه مولد نيروگاهي جهرم
IRO1TTZC0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,TTZC1,Zangan Dist. Trans,برانسفو,ترانسفورماتور توزيع زنگان
IRO1BRKT0001,N2,مواد و محصولات دارويي,فهرست اوليه,BRKT1,G.Barekat Pharm,بركت,گروه دارويي بركت
IRR1BRKT0101,N2,مواد و محصولات دارويي,فهرست اوليه,BRKX1,G.Barekat Pharm-R,بركتح,ح . گروه دارويي بركت
IRO1SWIC0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,SWIC1,Pars Switch,بسويچ,پارس‌سويچ‌
IRR1SWIC0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,SWIX1,Pars Switch-R,بسويچح,ح . پارس‌سويچ‌
IRO1LAPS0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,LAPS1,Pars Shahab,بشهاب,لامپ‌ پارس‌ شهاب‌
IRR1LAPS0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,LAPX1,Pars Shahab-R,بشهابح,ح . لامپ‌ پارس‌ شهاب‌
IRO1BFJR0001,N2,عرضه برق، گاز، بخاروآب گرم,فهرست اوليه,BFJR1,Fajr Petrochemical,بفجر,پتروشيمي فجر
IRO1JOSH0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,JOSH1,Yazd Jooshkab,بكاب,صنايع‌جوشكاب‌يزد
IRR1JOSH0101,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,JOSX1,Yazd Jooshkab-R,بكابح,ح . صنايع‌جوشكاب‌يزد
IRO1KGND0001,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو فرعي,KGND1,Ghandi Cables.,بكام,كارخانجات توليدي شهيد قندي
IRR1KGND0101,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو فرعي,KGNX1,Ghandi Cables.-R,بكامح,ح.كارخانجات توليدي شهيد قندي
IRO1MOTJ0001,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو اصلي,MOTJ1,Motogen,بموتو,موتوژن‌
IRR1MOTJ0101,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو اصلي,MOTX1,Motogen-R,بموتوح,ح . موتوژن‌
IRO1NIRO0001,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو فرعي,NIRO1,Nirou Trans,بنيرو,نيروترانس‌
IRR1NIRO0101,N1,ماشين آلات و دستگاه‌هاي برقي,تابلو فرعي,NIRX1,Nirou Trans-R,بنيروح,ح . نيروترانس‌
IRO1BORS0001,N1,فعاليتهاي كمكي به نهادهاي مالي واسط,تابلو اصلي,BORS1,Tehran Stock Exch.,بورس,بورس اوراق بهادار تهران
IRO1ARTA0001,N2,لاستيك و پلاستيك,فهرست اوليه,ARTA1,Artavil Tire,پارتا,مجتمع‌صنعتي‌آرتاويل‌تاير
IRR1ARTA0101,N2,لاستيك و پلاستيك,فهرست اوليه,ARTX1,Artavil Tire-R,پارتاح,ح . مجتمع‌صنعتي‌آرتاويل‌تاير
IRO1PARS0001,N2,محصولات شيميايي,فهرست اوليه,PARS1,PARS Petrochemical,پارس,پتروشيمي پارس
IRO1PASN0001,N1,محصولات شيميايي,تابلو اصلي,PASN1,Parsian Oil&Gas,پارسان,گسترش نفت و گاز پارسيان
IRR1PASN0101,N1,محصولات شيميايي,تابلو اصلي,PASX1,Parsian Oil&Gas-R,پارسانح,ح. گسترش نفت و گاز پارسيان
IRO1IPAR0001,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو فرعي,IPAR1,Parsian,پارسيان,بيمه پارسيان
IRR1IPAR0101,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو فرعي,IPAX1,Parsian-R,پارسيانح,ح.بيمه پارسيان
IRO1YASA0001,N2,لاستيك و پلاستيك,فهرست اوليه,YASA1,Iran Yasa Tire,پاسا,ايران‌ياساتايرورابر
IRR1YASA0101,N2,لاستيك و پلاستيك,فهرست اوليه,YASX1,Iran Yasa Tire-R,پاساح,ح . ايران‌ياساتايرورابر
IRO1PASH0001,N2,محصولات شيميايي,فهرست اوليه,PASH1,Paksho,پاكشو,گروه صنعتي پاكشو
IRR1PASH0101,N2,محصولات شيميايي,فهرست اوليه,PAHX1,Paksho-R,پاكشوح,ح . گروه صنعتي پاكشو
IRO1TAIR0001,N2,لاستيك و پلاستيك,فهرست اوليه,TAIR1,Iran Tire,پتاير,ايران‌ تاير
IRR1TAIR0101,N1,لاستيك و پلاستيك,تابلو فرعي,TAIX1,Iran Tire-R,پتايرح,ح . ايران‌ تاير
IRO1IPTR0001,N2,محصولات شيميايي,فهرست اوليه,IPTR1,Ir.Inv.Petr.,پترول,گروه پتروشيمي س. ايرانيان
IRO1DRKH0001,N2,لاستيك و پلاستيك,فهرست اوليه,DRKH1,Derakhshan Teh.,پدرخش,درخشان‌ تهران‌
IRR1DRKH0101,N2,لاستيك و پلاستيك,فهرست اوليه,DRKX1,Derakhshan Teh.-R,پدرخشح,ح . درخشان‌ تهران‌
IRO1DENA0001,N2,لاستيك و پلاستيك,فهرست اوليه,DENA1,Dena Tire,پدنا,توليدي‌لاستيك‌دنا
IRR1DENA0101,N2,لاستيك و پلاستيك,فهرست اوليه,DENX1,Dena Tire-R,پدناح,ح . توليدي‌لاستيك‌دنا
IRO1PRKT0001,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,PRKT1,Behpardakht Mellat,پرداخت,به پرداخت ملت
IRR1PRKT0101,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,PRKX1,Behpardakht-R,پرداختح,ح . به پرداخت ملت
IRO1AYEG0001,N1,سرمايه گذاريها,تابلو فرعي,AYEG1,Pardis Invsetment,پرديس,سرمايه گذاري پرديس
IRR1AYEG0101,N1,سرمايه گذاريها,تابلو فرعي,AYEX1,Ayegh Plastic-R,پرديسح,ح . سرمايه گذاري پرديس
IRO1PERS0001,N2,استخراج نفت گاز و خدمات جنبي جز اکتشاف,فهرست اوليه,PERS1,Oil&Gas Persia,پرشيا,توسعه صنعت نفت و گاز پرشيا
IRO1SHND0001,N2,لاستيك و پلاستيك,فهرست اوليه,SHND1,Sahand Rubber,پسهند,صنايع‌ لاستيكي‌ سهند
IRR1SHND0101,N2,لاستيك و پلاستيك,فهرست اوليه,SHNX1,Sahand Rubber-R,پسهندح,ح . صنايع‌ لاستيكي‌ سهند
IRO1SHIN0001,N2,لاستيك و پلاستيك,فهرست اوليه,SHIN1,Shahin Plastic,پشاهن,پلاستيك‌ شاهين‌
IRR1SHIN0101,N2,لاستيك و پلاستيك,فهرست اوليه,SHIX1,Shahin Plastic-R,پشاهنح,ح . پلاستيك‌ شاهين‌
IRO1BARZ0001,N2,لاستيك و پلاستيك,فهرست اوليه,BARZ1,Kerman Tire,پكرمان,گروه‌ صنعتي‌ بارز
IRR1BARZ0101,N2,لاستيك و پلاستيك,فهرست اوليه,BARX1,Kerman Tire-R,پكرمانح,ح . گروه‌ صنعتي‌ بارز
IRO1KVRZ0001,N2,لاستيك و پلاستيك,فهرست اوليه,KVRZ1,Kavir Tire,پكوير,كوير تاير
IRR1KVRZ0101,N2,لاستيك و پلاستيك,فهرست اوليه,KVRX1,Kavir Tire -R,پكويرح,ح. كوير تاير
