
کد نماد,گروه,گروه های صنعت,تابلو,نماد,نام لاتین,نماد,نام
IRO1ZMYD0001,N1,خودرو و ساخت قطعات,تابلو فرعي,ZMYD1,Zamyad,خزاميا,زامياد
IRR1ZMYD0101,N1,خودرو و ساخت قطعات,تابلو فرعي,ZMYX1,Zamyad-R,خزامياح,ح . زامياد
IRO1FNAR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,FNAR1,Zar Spring,خزر,فنرسازي‌زر
IRR1FNAR0101,N2,خودرو و ساخت قطعات,فهرست اوليه,FNAX1,Zar Spring-R,خزرح,ح . فنرسازي‌زر
IRO1SIPA0001,N1,خودرو و ساخت قطعات,تابلو فرعي,SIPA1,Saipa,خساپا,سايپا
IRR1SIPA0101,N1,خودرو و ساخت قطعات,تابلو فرعي,SIPX1,Saipa-R,خساپاح,ح . سايپا
IRO1KHSH0001,N2,خودرو و ساخت قطعات,فهرست اوليه,KHSH1,E. Kh. Shargh,خشرق,الكتريك‌ خودرو شرق‌
IRR1KHSH0101,N2,خودرو و ساخت قطعات,فهرست اوليه,KHSX1,E. Kh. Shargh-R,خشرقح,ح . الكتريك‌ خودرو شرق‌
IRO1SDRA0001,N2,پيمانكاري صنعتي,فهرست اوليه,SDRA1,SADRA,خصدرا,حذف-صنعتي‌ دريايي‌ ايران‌
IRR1SDRA0101,N2,پيمانكاري صنعتي,فهرست اوليه,SDRX1,SADRA-R,خصدراح,حذف-ح . صنعتي‌ دريايي‌ ايران‌
IRO1KFAN0001,N2,خودرو و ساخت قطعات,فهرست اوليه,KFAN1,Khavar Spring,خفنر,فنرسازي‌خاور
IRR1KFAN0101,N2,خودرو و ساخت قطعات,فهرست اوليه,KFAX1,Khavar Spring-R,خفنرح,ح . فنرسازي‌خاور
IRO1KRIR0001,N1,خودرو و ساخت قطعات,تابلو فرعي,KRIR1,Irka Part,خكار,ايركا پارت صنعت
IRR1KRIR0101,N1,خودرو و ساخت قطعات,تابلو فرعي,KRIX1,Irka Part -R,خكارح,ح.ايركا پارت صنعت
IRO1SPDZ0001,N2,خودرو و ساخت قطعات,فهرست اوليه,SPDZ1,Saipa Diesel,خكاوه,سايپا ديزل‌
IRR1SPDZ0101,N2,خودرو و ساخت قطعات,فهرست اوليه,SPDX1,Saipa Diesel-R,خكاوهح,ح . سايپا ديزل‌
IRO1INDM0001,N2,خودرو و ساخت قطعات,فهرست اوليه,INDM1,Indamin,خكمك,كمك‌فنرايندامين‌
IRR1INDM0101,N2,خودرو و ساخت قطعات,فهرست اوليه,INDX1,Indamin-R,خكمكح,ح . كمك‌فنرايندامين‌
IRO1GOST0001,N1,خودرو و ساخت قطعات,تابلو اصلي,GOST1,Iran Kh. Inv.,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو
IRR1GOST0101,N1,خودرو و ساخت قطعات,تابلو اصلي,GOSX1,Iran Kh. Inv.-R,خگسترح,ح . سرمايه‌گذاري‌ايران‌خودرو
IRO1LENT0001,N2,خودرو و ساخت قطعات,فهرست اوليه,LENT1,Iran Brake L.,خلنت,لنت‌ ترمزايران‌
IRR1LENT0101,N2,خودرو و ساخت قطعات,فهرست اوليه,LENX1,Iran Brake L.-R,خلنتح,ح . لنت‌ ترمزايران‌
IRO1NMOH0001,N1,خودرو و ساخت قطعات,تابلو فرعي,NMOH1,Nirou Moharreke,خمحركه,نيرو محركه‌
IRR1NMOH0101,N1,خودرو و ساخت قطعات,تابلو فرعي,NMOX1,Nirou Moharreke-R,خمحركهح,ح . نيرو محركه‌
IRO1TMKH0001,N1,خودرو و ساخت قطعات,تابلو فرعي,TMKH1,VAMCO,خمحور,توليدمحورخودرو
IRR1TMKH0101,N1,خودرو و ساخت قطعات,تابلو فرعي,TMKX1,VAMCO-R,خمحورح,ح . توليدمحورخودرو
IRO1MHKM0001,N2,خودرو و ساخت قطعات,فهرست اوليه,MHKM1,Mehrcam Pars,خمهر,مهركام‌پارس‌
IRR1MHKM0101,N2,خودرو و ساخت قطعات,فهرست اوليه,MHKX1,Mehrcam Pars-R,خمهرح,ح . مهركام‌پارس‌
IRO1MSTI0001,N1,خودرو و ساخت قطعات,تابلو فرعي,MSTI1,Motorsazan,خموتور,موتورسازان‌تراكتورسازي‌ايران‌
IRR1MSTI0101,N1,خودرو و ساخت قطعات,تابلو فرعي,MSTX1,Motorsazan-R,خموتورح,ح . موتورسازان‌تراكتورسازي‌
IRO1MNSR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,MNSR1,Nasir Machine,خنصير,مهندسي‌نصيرماشين‌
IRR1MNSR0101,N2,خودرو و ساخت قطعات,فهرست اوليه,MNSX1,Nasir Machine-R,خنصيرح,ح . مهندسي‌نصيرماشين‌
IRO1IKCO0001,N1,خودرو و ساخت قطعات,تابلو فرعي,IKCO1,Iran Khodro,خودرو,ايران‌ خودرو
IRR1IKCO0101,N2,خودرو و ساخت قطعات,فهرست اوليه,IKCX1,Iran Khodro-R,خودروح,ح . ايران‌ خودرو
IRO1MESI0001,N2,خودرو و ساخت قطعات,فهرست اوليه,MESI1,Iran Kh. A. M.,خوساز,محورسازان‌ايران‌خودرو
IRR1MESI0101,N2,خودرو و ساخت قطعات,فهرست اوليه,MESX1,Iran Kh. A. M.-R,خوسازح,ح . محورسازان‌ايران‌خودرو
IRO1DABO0001,N2,مواد و محصولات دارويي,فهرست اوليه,DABO1,Abouraihan P.,دابور,داروسازي‌ ابوريحان‌
IRR1DABO0101,N2,مواد و محصولات دارويي,فهرست اوليه,DABX1,Abouraihan P.-R,دابورح,ح . داروسازي‌ ابوريحان‌
IRO1DPAK0001,N2,مواد و محصولات دارويي,فهرست اوليه,DPAK1,Daroupakhsh P.,دارو,كارخانجات‌داروپخش‌
IRR1DPAK0101,N2,مواد و محصولات دارويي,فهرست اوليه,DPAX1,Daroupakhsh P.-R,داروح,ح . كارخانجات‌داروپخش
IRO1DOSE0001,N2,مواد و محصولات دارويي,فهرست اوليه,DOSE1,Osvah Pharm.,داسوه,داروسازي‌ اسوه‌
IRR1DOSE0101,N2,مواد و محصولات دارويي,فهرست اوليه,DOSX1,Osvah Pharm.-R,داسوهح,ح . داروسازي‌ اسوه‌
IRO1DALZ0001,N1,مواد و محصولات دارويي,تابلو فرعي,DALZ1,Alborz Darou,دالبر,البرزدارو
IRR1DALZ0101,N1,مواد و محصولات دارويي,تابلو فرعي,DALX1,Alborz Darou-R,دالبرح,ح . البرزدارو
IRO1AMIN0001,N1,مواد و محصولات دارويي,تابلو فرعي,AMIN1,Amin Pharm.,دامين,داروسازي‌ امين‌
IRR1AMIN0101,N1,مواد و محصولات دارويي,تابلو فرعي,AMIX1,Amin Pharm.-R,دامينح,ح . داروسازي‌ امين‌
IRO1BDAN0001,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو فرعي,BDAN1,Dana Insurance,دانا,بيمه دانا
IRR1BDAN0101,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو فرعي,BDAX1,Dana Insurance-R,داناح,ح . بيمه دانا
IRO1PDRO0001,N2,مواد و محصولات دارويي,فهرست اوليه,PDRO1,Pars Darou,دپارس,پارس‌ دارو
IRO1TMVD0001,N2,مواد و محصولات دارويي,فهرست اوليه,TMVD1,Daroupakhash I.,دتماد,توليدمواداوليه‌داروپخش‌
IRR1TMVD0101,N2,مواد و محصولات دارويي,فهرست اوليه,TMVX1,Daroupakhash I.-R,دتمادح,ح . توليدمواداوليه‌داروپخش‌
IRO1THDR0001,N2,مواد و محصولات دارويي,فهرست اوليه,THDR1,Tehran Darou,دتهران,داروسازي‌ تهران‌ دارو
IRR1THDR0101,N2,مواد و محصولات دارويي,فهرست اوليه,THDX1,Tehran Darou-R,دتهرانح,ح . داروسازي‌ تهران‌ دارو
IRO1DJBR0001,N1,مواد و محصولات دارويي,تابلو اصلي,DJBR1,Jaber Hayan P.,دجابر,داروسازي‌ جابرابن‌حيان‌
IRR1DJBR0101,N1,مواد و محصولات دارويي,تابلو اصلي,DJBX1,Jaber Hayan P.-R,دجابرح,ح . داروسازي‌ جابرابن‌حيان‌
IRO1DAML0001,N2,مواد و محصولات دارويي,فهرست اوليه,DAML1,Damloran Pharm.,ددام,داروسازي زاگرس فارمد پارس
IRR1DAML0101,N2,مواد و محصولات دارويي,فهرست اوليه,DAMX1,Damloran Pharm.-R,ددامح,ح . داروسازي زاگرس فارمد پارس
IRO1DRZK0001,N2,مواد و محصولات دارويي,فهرست اوليه,DRZK1,Razak Lab.,درازك,دارويي‌ رازك‌
IRR1DRZK0101,N2,مواد و محصولات دارويي,فهرست اوليه,DRZX1,Razak Lab.-R,درازكح,ح . دارويي‌ رازك‌
IRO1ROZD0001,N2,مواد و محصولات دارويي,فهرست اوليه,ROZD1,Rouz Darou P.,دروز,داروسازي‌ روزدارو
IRR1ROZD0101,N2,مواد و محصولات دارويي,فهرست اوليه,ROZX1,Rouz Darou P.-R,دروزح,ح . داروسازي‌ روزدارو
IRO1DZAH0001,N2,مواد و محصولات دارويي,فهرست اوليه,DZAH1,Zahravi Phar.,دزهراوي,داروسازي‌زهراوي‌
IRR1DZAH0101,N2,مواد و محصولات دارويي,فهرست اوليه,DZAX1,Zahravi Phar.-R,دزهراويح,ح . ‌داروسازي‌زهراوي‌
IRO1DSOB0001,N1,مواد و محصولات دارويي,تابلو اصلي,DSOB1,Sobhan Pharm.,دسبحا,گروه دارويي سبحان
IRR1DSOB0101,N1,مواد و محصولات دارويي,تابلو اصلي,DSOX1,Sobhan Pharm.-R,دسبحاح,ح .گروه دارويي سبحان
IRO1DSBH0001,N2,مواد و محصولات دارويي,فهرست اوليه,DSBH1,Sobhan Pharm,دسبحان,سبحان دارو
IRR1DSBH0101,N2,مواد و محصولات دارويي,فهرست اوليه,DSBX1,Sobhan Pharm-R,دسبحانح,ح. سبحان دارو
IRO1DSIN0001,N2,مواد و محصولات دارويي,فهرست اوليه,DSIN1,Sina Darou Lab.,دسينا,داروسازي‌ سينا
IRR1DSIN0101,N2,مواد و محصولات دارويي,فهرست اوليه,DSIX1,Sina Darou Lab.-R,دسيناح,ح . داروسازي‌ سينا
IRO1DDPK0001,N2,مواد و محصولات دارويي,فهرست اوليه,DDPK1,Daroupakhsh,دشيمي,شيمي‌ داروئي‌ داروپخش‌
IRR1DDPK0101,N2,مواد و محصولات دارويي,فهرست اوليه,DDPX1,Daroupakhsh-R,دشيميح,ح . شيمي‌ داروئي‌ داروپخش‌
IRO1ABDI0001,N2,مواد و محصولات دارويي,فهرست اوليه,ABDI1,Dr. Abidi Lab.,دعبيد,لابراتوارداروسازي‌ دكترعبيدي‌
IRR1ABDI0101,N2,مواد و محصولات دارويي,فهرست اوليه,ABDX1,Dr. Abidi Lab.-R,دعبيدح,ح . داروسازي‌ دكترعبيدي‌
IRO1DFRB0001,N1,مواد و محصولات دارويي,تابلو فرعي,DFRB1,Farabi Pharm.,دفارا,داروسازي‌ فارابي‌
IRR1DFRB0101,N1,مواد و محصولات دارويي,تابلو فرعي,DFRX1,Farabi Pharm.-R,دفاراح,ح . داروسازي‌ فارابي‌
IRO1FTIR0001,N2,مواد و محصولات دارويي,فهرست اوليه,FTIR1,Iran Parenteral,دفرا,فرآورده‌هاي‌ تزريقي‌ ايران‌
IRR1FTIR0101,N2,مواد و محصولات دارويي,فهرست اوليه,FTIX1,Iran Parenteral-R,دفراح,ح . فرآورده‌هاي‌ تزريقي‌
IRO1DKSR0001,N1,مواد و محصولات دارويي,تابلو فرعي,DKSR1,Kowsar Pharm.,دكوثر,داروسازي‌ كوثر
IRR1DKSR0101,N1,مواد و محصولات دارويي,تابلو فرعي,DKSX1,Kowsar Pharm.-R,دكوثرح,ح . داروسازي‌ كوثر
IRO1KIMI0001,N1,مواد و محصولات دارويي,تابلو اصلي,KIMI1,Chimidarou,دكيمي,كيميدارو
IRR1KIMI0101,N1,مواد و محصولات دارويي,تابلو اصلي,KIMX1,Chimidarou-R,دكيميح,ح . كيميدارو
IRO1EXIR0001,N2,مواد و محصولات دارويي,فهرست اوليه,EXIR1,Exir Pharm.,دلر,داروسازي‌ اكسير
IRR1EXIR0101,N2,مواد و محصولات دارويي,فهرست اوليه,EXIX1,Exir Pharm.-R,دلرح,ح . داروسازي‌ اكسير
IRO1DLGM0001,N2,مواد و محصولات دارويي,فهرست اوليه,DLGM1,Loghman Pharm.,دلقما,دارويي‌ لقمان‌
IRR1DLGM0101,N2,مواد و محصولات دارويي,فهرست اوليه,DLGX1,Loghman Pharm.-R,دلقماح,ح . دارويي‌ لقمان‌
IRO1IRDR0001,N2,مواد و محصولات دارويي,فهرست اوليه,IRDR1,Iran Darou,ديران,ايران‌دارو
IRR1IRDR0101,N2,مواد و محصولات دارويي,فهرست اوليه,IRDX1,Iran Darou-R,ديرانح,ح . ‌ايران‌دارو
IRO1PRDS0001,N2,محصولات شيميايي,فهرست اوليه,PRDS1,Disshap Petr.,ديسشپ,ديس شپ
IRO1INFO0001,N1,رايانه و فعاليت‌هاي وابسته به آن,تابلو اصلي,INFO1,Inf. Services,رانفور,خدمات‌انفورماتيك‌
IRR1INFO0101,N1,رايانه و فعاليت‌هاي وابسته به آن,تابلو اصلي,INFX1,Inf. Services-R,رانفورح,ح . خدمات‌انفورماتيك‌
IRO1EPRS0001,N1,رايانه و فعاليت‌هاي وابسته به آن,تابلو فرعي,EPRS1,Parsian Ecommerc,رتاپ,تجارت الكترونيك پارسيان
IRR1EPRS0101,N1,رايانه و فعاليت‌هاي وابسته به آن,تابلو فرعي,EPRX1,Parsian Ecommerc-R,رتاپح,ح.تجارت الكترونيك پارسيان
IRO1TKIN0001,N2,خدمات فني و مهندسي,فهرست اوليه,TKIN1,Techinco,رتكو,كنترل‌خوردگي‌تكين‌كو
IRR1TKIN0101,N2,خدمات فني و مهندسي,فهرست اوليه,TKIX1,Techinco-R,رتكوح,ح . كنترل‌خوردگي‌تكين‌كو
IRO1RKSH0001,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,RKSH1,Etebari Iran Co,ركيش,كارت اعتباري ايران كيش
IRR1RKSH0101,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,RKSX1,Etebari Iran Co-R,ركيشح,ح. كارت اعتباري ايران كيش
IRO1MAPN0001,N1,خدمات فني و مهندسي,تابلو اصلي,MAPN1,MAPNA,رمپنا,گروه مپنا (سهامي عام)
IRR1MAPN0101,N1,خدمات فني و مهندسي,تابلو فرعي,MAPX1,MAPNA-R,رمپناح,ح. گروه مپنا (سهامي عام)
IRO1ZPRS0001,N2,زراعت و خدمات وابسته,فهرست اوليه,ZPRS1,Pars Agro.,زپارس,ملي كشت و صنعت و دامپروري پارس
IRO1MAGS0001,N2,زراعت و خدمات وابسته,فهرست اوليه,MAGS1,Magsal Agri.,زمگسا,كشاورزي‌ ودامپروي‌ مگسال‌
IRR1MAGS0101,N2,زراعت و خدمات وابسته,فهرست اوليه,MAGX1,Magsal Agri.-R,زمگساح,ح . كشاورزي‌ ودامپروي‌ مگسال‌
IRO1ABIK0001,N2,ساير محصولات كاني غيرفلزي,فهرست اوليه,ABIK1,Abiak Cement,سابيك,سيمان آبيك
IRO1AZRT0001,N2,ساير محصولات كاني غيرفلزي,فهرست اوليه,AZRT1,Azarit,ساذري,آذريت‌
IRR1AZRT0101,N2,ساير محصولات كاني غيرفلزي,فهرست اوليه,AZRX1,Azarit-R,ساذريح,ح . آذريت‌
IRO1SDAB0001,N1,سيمان، آهك و گچ,تابلو فرعي,SDAB1,Darab Cement,ساراب,سيمان‌ داراب‌
IRR1SDAB0101,N1,سيمان، آهك و گچ,تابلو فرعي,SDAX1,Darab Cement-R,سارابح,ح . سيمان‌ داراب‌
IRO1SADB0001,N2,سيمان، آهك و گچ,فهرست اوليه,SADB1,Ardebil Cement,ساربيل,سيمان آرتا اردبيل
IRR1SADB0101,N2,سيمان، آهك و گچ,فهرست اوليه,SADX1,Ardebil Cement-R,ساربيلح,ح . سيمان آرتا اردبيل
IRO1SURO0001,N1,سيمان، آهك و گچ,تابلو اصلي,SURO1,Oroumiyeh Cem.,ساروم,سيمان‌اروميه‌
IRR1SURO0101,N1,سيمان، آهك و گچ,تابلو اصلي,SURX1,Oroumiyeh Cem.-R,سارومح,ح . سيمان‌اروميه‌
IRO1SAVE0001,N2,سيمان، آهك و گچ,فهرست اوليه,SAVE1,Saveh Cement,ساوه,سيمان‌سفيدساوه‌
IRO1IRNT0001,N2,ساير محصولات كاني غيرفلزي,فهرست اوليه,IRNT1,Iranit,سايرا,ايرانيت‌
IRR1IRNT0101,N2,ساير محصولات كاني غيرفلزي,فهرست اوليه,IRNX1,Iranit-R,سايراح,ح . ايرانيت‌
IRO1SBOJ0001,N2,سيمان، آهك و گچ,فهرست اوليه,SBOJ1,Bojnourd Cement,سبجنو,سيمان‌ بجنورد
IRR1SBOJ0101,N2,سيمان، آهك و گچ,فهرست اوليه,SBOX1,Bojnourd Cement-R,سبجنوح,ح . سيمان‌ بجنورد
IRO1SBHN0001,N2,سيمان، آهك و گچ,فهرست اوليه,SBHN1,Behbahan Cement,سبهان,سيمان‌ بهبهان‌
IRR1SBHN0101,N2,سيمان، آهك و گچ,فهرست اوليه,SBHX1,Behbahan Cement-R,سبهانح,ح . سيمان‌ بهبهان‌
IRO1SEPK0001,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,SEPK1,Saman-E-Kish,سپ,پرداخت الكترونيك سامان كيش
IRO1SSEP0001,N1,سيمان، آهك و گچ,تابلو اصلي,SSEP1,Sepahan Cement,سپاها,سيمان‌سپاهان‌
IRR1SSEP0101,N1,سيمان، آهك و گچ,تابلو اصلي,SSEX1,Sepahan Cement-R,سپاهاح,ح . سيمان‌سپاهان‌
IRO1PRMT0001,N2,ساير محصولات كاني غيرفلزي,فهرست اوليه,PRMT1,Permit,سپرمي,پرميت
IRO1STEH0001,N1,سيمان، آهك و گچ,تابلو اصلي,STEH1,Tehran Cement,ستران,سيمان‌ تهران‌
IRR1STEH0101,N1,سيمان، آهك و گچ,تابلو اصلي,STEX1,Tehran Cement-R,سترانح,ح . سيمان‌ تهران‌
IRO1SKHS0001,N2,سيمان، آهك و گچ,فهرست اوليه,SKHS1,Khash Cement,سخاش,سيمان‌خاش‌
IRR1SKHS0101,N2,سيمان، آهك و گچ,فهرست اوليه,SKHX1,Khash Cement-R,سخاشح,ح . سيمان‌خاش‌
IRO1SKAZ0001,N1,سيمان، آهك و گچ,تابلو فرعي,SKAZ1,Khazar Cement,سخزر,سيمان‌ خزر
IRR1SKAZ0101,N1,سيمان، آهك و گچ,تابلو فرعي,SKAX1,Khazar Cement-R,سخزرح,ح . سيمان‌ خزر
IRO1KHOC0001,N2,سيمان، آهك و گچ,فهرست اوليه,KHOC1,Khoozestan CE.,سخوز,سيمان خوزستان
IRR1KHOC0101,N2,سيمان، آهك و گچ,فهرست اوليه,KHOX1,Khoozestan CE-R,سخوزح,ح . سيمان خوزستان
IRO1SDST0001,N2,سيمان، آهك و گچ,فهرست اوليه,SDST1,Dashtestan Ce.,سدشت,صنايع سيمان دشتستان
IRR1SDST0101,N2,سيمان، آهك و گچ,فهرست اوليه,SDSX1,Dashtestan Ce.-R,سدشتح,ح .صنايع سيمان دشتستان
IRO1SDOR0001,N2,سيمان، آهك و گچ,فهرست اوليه,SDOR1,Doroud Cement,سدور,سيمان‌ دورود
IRR1SDOR0101,N2,سيمان، آهك و گچ,فهرست اوليه,SDOX1,Doroud Cement-R,سدورح,ح . سيمان‌ دورود
IRO1SROD0001,N1,سيمان، آهك و گچ,تابلو اصلي,SROD1,Shahroud Cement,سرود,سيمان‌شاهرود
IRR1SROD0101,N1,سيمان، آهك و گچ,تابلو اصلي,SROX1,Shahroud Cement-R,سرودح,ح . سيمان‌شاهرود
IRO1SSHR0001,N1,سيمان، آهك و گچ,تابلو فرعي,SSHR1,Shargh Cement,سشرق,سيمان‌ شرق‌
IRR1SSHR0101,N1,سيمان، آهك و گچ,تابلو اصلي,SSHX1,Shargh Cement-R,سشرقح,ح . سيمان‌ شرق‌
IRO1SIMS0001,N1,سيمان، آهك و گچ,تابلو فرعي,SIMS1,Shomal Cement,سشمال,سيمان‌ شمال‌
IRR1SIMS0101,N1,سيمان، آهك و گچ,تابلو فرعي,SIMX1,Shomal Cement-R,سشمالح,ح . سيمان‌ شمال‌
IRO1SEFH0001,N2,سيمان، آهك و گچ,فهرست اوليه,SEFH1,Isfahan Cement,سصفها,سيمان‌اصفهان‌
IRR1SEFH0101,N2,سيمان، آهك و گچ,فهرست اوليه,SEFX1,Isfahan Cement-R,سصفهاح,ح . سيمان‌اصفهان‌
IRO1SSOF0001,N1,سيمان، آهك و گچ,تابلو فرعي,SSOF1,Soufian Cement,سصوفي,سيمان‌ صوفيان‌
IRO1GDRS0001,N2,سيمان، آهك و گچ,فهرست اوليه,GDRS1,Ghadir Invest.,سغدير,توسعه سرمايه و صنعت غدير
IRO1SGRB0001,N1,سيمان، آهك و گچ,تابلو فرعي,SGRB1,Gharb Cement.,سغرب,سيمان‌غرب‌
IRO1SFRS0001,N2,سيمان، آهك و گچ,فهرست اوليه,SFRS1,Fars Cement,سفار,سيمان‌فارس‌
IRR1SFRS0101,N2,سيمان، آهك و گچ,فهرست اوليه,SFRX1,Fars Cement-R,سفارح,ح . سيمان‌فارس‌
IRO1SFKZ0001,N1,سيمان، آهك و گچ,تابلو اصلي,SFKZ1,F. & Kh. Cement,سفارس,سيمان فارس و خوزستان
IRR1SFKZ0101,N1,سيمان، آهك و گچ,تابلو اصلي,SFKX1,F. & Kh. Cement-R,سفارسح,ح . سيمان فارس و خوزستان
IRO1FRDO0001,N1,ساير محصولات كاني غيرفلزي,تابلو فرعي,FRDO1,Doroud Farsit,سفارود,كارخانه‌فارسيت‌درود
IRR1FRDO0101,N1,ساير محصولات كاني غيرفلزي,تابلو فرعي,FRDX1,Doroud Farsit-R,سفارودح,ح . كارخانه‌فارسيت‌درود
IRO1SFAS0001,N2,ساير محصولات كاني غيرفلزي,فهرست اوليه,SFAS1,Ahwaz Farsit,سفاسيت,فارسيت‌ اهواز
IRR1SFAS0101,N2,ساير محصولات كاني غيرفلزي,فهرست اوليه,SFAX1,Ahwaz Farsit-R,سفاسيتح,ح . فارسيت‌ اهواز
IRO1SFNO0001,N1,سيمان، آهك و گچ,تابلو فرعي,SFNO1,Siman Fars Noe,سفانو,سيمان فارس نو
IRO1SGEN0001,N2,سيمان، آهك و گچ,فهرست اوليه,SGEN1,Qayen Cement,سقاين,سيمان‌ قائن‌
IRR1SGEN0101,N2,سيمان، آهك و گچ,فهرست اوليه,SGEX1,Qayen Cement-R,سقاينح,ح . سيمان‌ قائن‌
IRO1SKRN0001,N2,سيمان، آهك و گچ,فهرست اوليه,SKRN1,Karoon Cement,سكارون,سيمان‌ كارون‌
IRR1SKRN0101,N2,سيمان، آهك و گچ,فهرست اوليه,SKRX1,Karoon Cement-R,سكارونح,ح . سيمان‌ كارون‌
IRO1SKOR0001,N1,سيمان، آهك و گچ,تابلو فرعي,SKOR1,Kordesta Ce. Co.,سكرد,سيمان كردستان
IRR1SKOR0101,N1,سيمان، آهك و گچ,تابلو فرعي,SKOX1,Kordestan Cem.-R,سكردح,ح . سيمان كردستان
IRO1SKER0001,N1,سيمان، آهك و گچ,تابلو اصلي,SKER1,Kerman Cement,سكرما,سيمان‌ كرمان‌
IRR1SKER0101,N1,سيمان، آهك و گچ,تابلو اصلي,SKEX1,Kerman Cement-R,سكرماح,ح . سيمان‌ كرمان‌
IRO1SMAZ0001,N2,سيمان، آهك و گچ,فهرست اوليه,SMAZ1,Mazandaran Cem.,سمازن,سيمان‌مازندران‌
IRR1SMAZ0101,N2,سيمان، آهك و گچ,فهرست اوليه,SMAX1,Mazandaran Cem.-R,سمازنح,ح . سيمان‌مازندران‌
IRO1SSNR0001,N2,سيمان، آهك و گچ,فهرست اوليه,SSNR1,Neiriz Cement,سنير,سيمان‌ سفيد ني‌ريز
IRO1SHZG0001,N2,سيمان، آهك و گچ,فهرست اوليه,SHZG1,Hormozgan Cem.,سهرمز,سيمان‌هرمزگان‌
IRR1SHZG0101,N2,سيمان، آهك و گچ,فهرست اوليه,SHZX1,Hormozgan Cem.-R,سهرمزح,ح . سيمان‌هرمزگان‌
IRO1SHGN0001,N1,سيمان، آهك و گچ,تابلو فرعي,SHGN1,Hegmatan Cement,سهگمت,سيمان‌هگمتان‌
IRR1SHGN0101,N1,سيمان، آهك و گچ,تابلو فرعي,SHGX1,Hegmatan Cement-R,سهگمتح,ح . سيمان‌هگمتان‌
IRO1CIDC0001,N2,سيمان، آهك و گچ,فهرست اوليه,CIDC1,Cement INV. Co.,سيدكو,سرمايه گذاري توسعه صنايع سيمان
IRR1CIDC0101,N2,سيمان، آهك و گچ,فهرست اوليه,CIDX1,Cement INV. Co.-R,سيدكوح,ح . س. توسعه صنايع سيمان
IRO1SYSM0001,N1,رايانه و فعاليت‌هاي وابسته به آن,تابلو فرعي,SYSM1,Hamkaran System Co,سيستم,همكاران سيستم
IRO1SEIL0001,N2,سيمان، آهك و گچ,فهرست اوليه,SEIL1,Ilam Cement,سيلام,سيمان‌ ايلام‌
IRR1SEIL0101,N2,سيمان، آهك و گچ,فهرست اوليه,SEIX1,Ilam Cement-R,سيلامح,ح . سيمان‌ ايلام‌
IRO1SMRG0001,N2,زراعت و خدمات وابسته,فهرست اوليه,SMRG1,Seamorgh Co.,سيمرغ,سيمرغ
IRO1FSIN0001,N2,شرکتهاي چند رشته اي صنعتي,فهرست اوليه,FSIN1,Investment Sina,سينا,مالي و سرمايه گذاري سينا
IRO1PARK0001,N1,محصولات شيميايي,تابلو اصلي,PARK1,Shazand Petr.,شاراك,پتروشيمي شازند
IRR1PARK0101,N1,محصولات شيميايي,تابلو اصلي,PARX1,Shazand Petr.-R,شاراكح,ح . پتروشيمي شازند
IRO1AMLH0001,N2,محصولات شيميايي,فهرست اوليه,AMLH1,Iran Amlah,شاملا,معدني‌ املاح‌ ايران‌
IRR1AMLH0101,N2,محصولات شيميايي,فهرست اوليه,AMLX1,Iran Amlah-R,شاملاح,ح . معدني‌ املاح‌ ايران‌
IRO1PNTB0001,N1,فراورده هاي نفتي، كك و سوخت هسته اي,تابلو اصلي,PNTB1,Tabriz.Oil.Refine,شبريز,پالايش نفت تبريز
IRR1PNTB0101,N1,فراورده هاي نفتي، كك و سوخت هسته اي,تابلو اصلي,PNTX1,Tabriz.Oil.RefineR,شبريزح,ح. پالايش نفت تبريز
IRO1PNBA0001,N1,فراورده هاي نفتي، كك و سوخت هسته اي,تابلو فرعي,PNBA1,B.A Oil Refinie,شبندر,پالايش نفت بندرعباس
IRO1NBEH0001,N1,فراورده هاي نفتي، كك و سوخت هسته اي,تابلو اصلي,NBEH1,Behran Oil,شبهرن,نفت‌ بهران‌
IRR1NBEH0101,N1,فراورده هاي نفتي، كك و سوخت هسته اي,تابلو اصلي,NBEX1,Behran Oil-R,شبهرنح,ح . نفت‌ بهران‌
IRO1BMPS0001,N2,محصولات شيميايي,فهرست اوليه,BMPS1,Pars Int. Mfg.,شپارس,بين‌ المللي‌ محصولات‌ پارس‌
IRR1BMPS0101,N2,محصولات شيميايي,فهرست اوليه,BMPX1,Pars Int. Mfg.-R,شپارسح,ح . بين‌ المللي‌محصولات پارس‌
IRO1PAKS0001,N1,محصولات شيميايي,تابلو فرعي,PAKS1,Paxan,شپاكسا,پاكسان‌
IRR1PAKS0101,N1,محصولات شيميايي,تابلو فرعي,PAKX1,Paxan-R,شپاكساح,ح . پاكسان‌
IRO1PABD0001,N1,محصولات شيميايي,تابلو فرعي,PABD1,Abadan Petr.,شپترو,پتروشيمي‌ آبادان‌
